Year of Birth,Count
2011,13
2011,21
2011,49
2011,38
2011,36
2011,26
2011,126
2011,14
2011,17
2011,17
2011,13
2011,10
2011,15
2011,15
2011,16
2011,13
2011,11
2011,11
2011,11
2011,10
2011,28
2011,10
2011,331
2011,18
2011,13
2011,27
2011,23
2011,30
2011,21
2011,50
2011,11
2011,11
2011,12
2011,11
2011,20
2011,41
2011,10
2011,33
2011,12
2011,51
2011,22
2011,13
2011,10
2011,16
2011,24
2011,14
2011,59
2011,46
2011,11
2011,46
2011,12
2011,30
2011,22
2011,16
2011,21
2011,20
2011,15
2011,16
2011,11
2011,20
2011,11
2011,31
2011,36
2011,41
2011,25
2011,27
2011,23
2011,10
2011,60
2011,12
2011,62
2011,83
2011,19
2011,10
2011,15
2011,12
2011,17
2011,41
2011,12
2011,57
2011,36
2011,103
2011,13
2011,10
2011,37
2011,29
2011,14
2011,21
2011,52
2011,10
2011,123
2011,20
2011,33
2011,12
2011,66
2011,16
2011,10
2011,26
2011,18
2011,28
2011,21
2011,12
2011,30
2011,27
2011,20
2011,24
2011,25
2011,15
2011,16
2011,122
2011,32
2011,59
2011,33
2011,12
2011,10
2011,10
2011,49
2011,11
2011,109
2011,14
2011,50
2011,23
2011,229
2011,17
2011,51
2011,14
2011,26
2011,19
2011,17
2011,11
2011,11
2011,29
2011,14
2011,10
2011,22
2011,50
2011,46
2011,13
2011,11
2011,10
2011,26
2011,20
2011,17
2011,32
2011,71
2011,11
2011,11
2011,16
2011,86
2011,10
2011,14
2011,12
2011,25
2011,11
2011,10
2011,21
2011,12
2011,10
2011,11
2011,16
2011,20
2011,25
2011,11
2011,100
2011,12
2011,29
2011,53
2011,24
2011,10
2011,10
2011,10
2011,38
2011,29
2011,65
2011,15
2011,37
2011,13
2011,15
2011,17
2011,21
2011,12
2011,165
2011,223
2011,12
2011,10
2011,11
2011,50
2011,11
2011,11
2011,13
2011,11
2011,24
2011,85
2011,45
2011,53
2011,42
2011,10
2011,114
2011,14
2011,11
2011,12
2011,18
2011,11
2011,22
2011,65
2011,27
2011,103
2011,19
2011,22
2011,12
2011,19
2011,29
2011,18
2011,16
2011,20
2011,14
2011,54
2011,109
2011,27
2011,50
2011,11
2011,11
2011,14
2011,22
2011,15
2011,28
2011,15
2011,62
2011,15
2011,17
2011,11
2011,11
2011,19
2011,10
2011,50
2011,85
2011,14
2011,27
2011,27
2011,28
2011,14
2011,10
2011,26
2011,20
2011,10
2011,10
2011,26
2011,10
2011,162
2011,52
2011,11
2011,18
2011,10
2011,40
2011,12
2011,20
2011,15
2011,33
2011,22
2011,10
2011,14
2011,20
2011,23
2011,24
2011,15
2011,32
2011,14
2011,33
2011,15
2011,19
2011,13
2011,14
2011,11
2011,11
2011,52
2011,12
2011,33
2011,16
2011,10
2011,132
2011,38
